"","subj_idx","SGPS","score"
"1",558365014109454336,"1",4
"2",558365014109454336,"2",5
"3",558365014109454336,"3",1
"4",558365014109454336,"4",2
"5",558365014109454336,"5",3
"6",558365014109454336,"6",3
"7",558365014109454336,"7",5
"8",558365014109454336,"8",5
"9",558365014109454336,"9",5
"10",568408786771902464,"1",2
"11",568408786771902464,"2",2
"12",568408786771902464,"3",2
"13",568408786771902464,"4",2
"14",568408786771902464,"5",2
"15",568408786771902464,"6",2
"16",568408786771902464,"7",2
"17",568408786771902464,"8",2
"18",568408786771902464,"9",1
"19",613040465838604288,"1",1
"20",613040465838604288,"2",1
"21",613040465838604288,"3",2
"22",613040465838604288,"4",1
"23",613040465838604288,"5",2
"24",613040465838604288,"6",2
"25",613040465838604288,"7",1
"26",613040465838604288,"8",3
"27",613040465838604288,"9",1
"28",628584680945352704,"1",1
"29",628584680945352704,"2",2
"30",628584680945352704,"3",1
"31",628584680945352704,"4",1
"32",628584680945352704,"5",1
"33",628584680945352704,"6",1
"34",628584680945352704,"7",1
"35",628584680945352704,"8",1
"36",628584680945352704,"9",1
"37",656853379439394816,"1",1
"38",656853379439394816,"2",1
"39",656853379439394816,"3",2
"40",656853379439394816,"4",1
"41",656853379439394816,"5",1
"42",656853379439394816,"6",1
"43",656853379439394816,"7",1
"44",656853379439394816,"8",4
"45",656853379439394816,"9",1
"46",682910925522468864,"1",2
"47",682910925522468864,"2",3
"48",682910925522468864,"3",4
"49",682910925522468864,"4",3
"50",682910925522468864,"5",4
"51",682910925522468864,"6",4
"52",682910925522468864,"7",3
"53",682910925522468864,"8",2
"54",682910925522468864,"9",2
"55",690857936225828864,"1",4
"56",690857936225828864,"2",5
"57",690857936225828864,"3",3
"58",690857936225828864,"4",4
"59",690857936225828864,"5",3
"60",690857936225828864,"6",3
"61",690857936225828864,"7",4
"62",690857936225828864,"8",3
"63",690857936225828864,"9",4
"64",703157170715230208,"1",4
"65",703157170715230208,"2",4
"66",703157170715230208,"3",4
"67",703157170715230208,"4",4
"68",703157170715230208,"5",3
"69",703157170715230208,"6",4
"70",703157170715230208,"7",4
"71",703157170715230208,"8",2
"72",703157170715230208,"9",4
"73",718754642447564800,"1",3
"74",718754642447564800,"2",2
"75",718754642447564800,"3",2
"76",718754642447564800,"4",3
"77",718754642447564800,"5",2
"78",718754642447564800,"6",2
"79",718754642447564800,"7",1
"80",718754642447564800,"8",4
"81",718754642447564800,"9",2
"82",728341831389020160,"1",1
"83",728341831389020160,"2",1
"84",728341831389020160,"3",1
"85",728341831389020160,"4",1
"86",728341831389020160,"5",1
"87",728341831389020160,"6",1
"88",728341831389020160,"7",2
"89",728341831389020160,"8",5
"90",728341831389020160,"9",1
"91",732226150302224384,"1",4
"92",732226150302224384,"2",3
"93",732226150302224384,"3",3
"94",732226150302224384,"4",2
"95",732226150302224384,"5",3
"96",732226150302224384,"6",2
"97",732226150302224384,"7",3
"98",732226150302224384,"8",4
"99",732226150302224384,"9",2
"100",735606541780258816,"1",4
"101",735606541780258816,"2",5
"102",735606541780258816,"3",4
"103",735606541780258816,"4",4
"104",735606541780258816,"5",5
"105",735606541780258816,"6",4
"106",735606541780258816,"7",4
"107",735606541780258816,"8",4
"108",735606541780258816,"9",4
"109",742402460798423040,"1",2
"110",742402460798423040,"2",2
"111",742402460798423040,"3",3
"112",742402460798423040,"4",2
"113",742402460798423040,"5",2
"114",742402460798423040,"6",3
"115",742402460798423040,"7",2
"116",742402460798423040,"8",2
"117",742402460798423040,"9",1
"118",745398419547492352,"1",2
"119",745398419547492352,"2",2
"120",745398419547492352,"3",2
"121",745398419547492352,"4",2
"122",745398419547492352,"5",2
"123",745398419547492352,"6",3
"124",745398419547492352,"7",2
"125",745398419547492352,"8",2
"126",745398419547492352,"9",2
"127",746397539082964992,"1",2
"128",746397539082964992,"2",3
"129",746397539082964992,"3",4
"130",746397539082964992,"4",4
"131",746397539082964992,"5",4
"132",746397539082964992,"6",4
"133",746397539082964992,"7",4
"134",746397539082964992,"8",1
"135",746397539082964992,"9",4
"136",755507503227473920,"1",2
"137",755507503227473920,"2",3
"138",755507503227473920,"3",3
"139",755507503227473920,"4",2
"140",755507503227473920,"5",2
"141",755507503227473920,"6",2
"142",755507503227473920,"7",2
"143",755507503227473920,"8",3
"144",755507503227473920,"9",2
"145",755771736343187456,"1",4
"146",755771736343187456,"2",3
"147",755771736343187456,"3",2
"148",755771736343187456,"4",2
"149",755771736343187456,"5",2
"150",755771736343187456,"6",2
"151",755771736343187456,"7",2
"152",755771736343187456,"8",2
"153",755771736343187456,"9",2
