"","subj_idx","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","friend_name"
"1",558365014109454336,2,2,3,2,2,2,2,2,2,2,3,4,3,2,3,2,2,2,3,3,4,5,1,2,3,3,5,5,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,5,5,1,3,2,4,4,3,2,"杜"
"2",568408786771902464,3,3,3,3,3,4,3,3,4,3,4,3,2,4,2,4,3,3,4,4,2,2,2,2,2,2,2,2,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,4,2,2,1,4,2,3,4,4,2,"王"
"3",613040465838604288,3,4,4,3,3,3,4,3,4,4,4,3,2,4,5,4,4,5,4,4,1,1,2,1,2,2,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,2,4,1,3,2,3,3,4,4,"庄"
"4",628584680945352704,4,3,4,4,4,4,3,4,4,4,4,4,5,4,5,5,5,4,4,5,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,5,1,2,2,1,2,4,2,3,2,"林"
"5",656853379439394816,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,2,1,1,1,1,4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,5,1,3,1,1,5,4,3,4,2,"张"
"6",682910925522468864,3,2,3,3,3,3,3,3,4,4,4,3,4,3,4,3,4,3,4,4,2,3,4,3,4,4,3,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,2,4,3,2,3,4,3,3,"颜"
"7",690857936225828864,2,2,2,2,2,2,2,2,2,2,4,2,1,3,2,3,2,2,3,2,4,5,3,4,3,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,3,4,3,4,4,3,3,"叶"
"8",703157170715230208,3,3,3,3,2,3,2,2,2,2,4,2,1,2,2,2,2,2,2,2,4,4,4,4,3,4,4,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,4,4,4,3,4,4,4,2,"王"
"9",718754642447564800,3,3,3,3,2,3,2,3,3,3,3,2,3,3,3,3,3,3,4,4,3,2,2,3,2,2,1,4,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,4,2,3,3,4,3,3,3,2,3,"贾"
"10",728341831389020160,4,4,4,4,4,4,4,4,4,4,5,5,4,5,5,5,5,4,5,5,1,1,1,1,1,1,2,5,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,5,2,4,2,2,2,2,2,2,1,"李"
"11",732226150302224384,3,3,3,3,3,3,3,3,3,4,4,4,3,4,3,3,4,4,3,4,4,3,3,2,3,2,3,4,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,5,4,3,2,3,2,3,3,3,2,"李"
"12",735606541780258816,3,3,3,4,2,3,2,2,2,2,4,2,1,3,2,2,2,2,4,4,4,5,4,4,5,4,4,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,5,4,5,4,4,4,2,2,"谢"
"13",742402460798423040,3,3,3,3,2,3,3,3,2,3,3,4,2,3,3,4,3,3,3,4,2,2,3,2,2,3,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,4,3,4,2,3,4,3,2,"何"
"14",745398419547492352,4,3,4,3,4,3,3,4,4,4,4,5,4,4,3,5,4,4,4,5,2,2,2,2,2,3,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,4,2,2,2,2,2,3,2,"姚"
"15",746397539082964992,2,3,3,2,1,2,1,2,2,3,3,2,1,2,2,2,2,2,3,3,2,3,4,4,4,4,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,4,4,5,2,3,2,1,"孟"
"16",755507503227473920,3,3,4,3,3,3,3,2,3,3,4,3,2,4,4,4,4,3,4,4,2,3,3,2,2,2,2,3,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4,3,2,2,4,2,4,4,3,1,"陈"
"17",755771736343187456,3,3,4,3,4,3,3,4,4,4,4,4,2,2,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,4,4,4,2,2,4,4,2,2,3,"左"
