"","subj_idx","IPC","score"
"1",613040465838604288,"1","2"
"2",613040465838604288,"2","3"
"3",613040465838604288,"3","2"
"4",613040465838604288,"4","2"
"5",613040465838604288,"5","3"
"6",613040465838604288,"6","2"
"7",613040465838604288,"7","3"
"8",613040465838604288,"8","2"
"9",703157170715230208,"1","1"
"10",703157170715230208,"2","2"
"11",703157170715230208,"3","-1"
"12",703157170715230208,"4","2"
"13",703157170715230208,"5","-1"
"14",703157170715230208,"6","1"
"15",703157170715230208,"7","1"
"16",703157170715230208,"8","1"
"17",718754642447564800,"1","-2"
"18",718754642447564800,"2","2"
"19",718754642447564800,"3","1"
"20",718754642447564800,"4","1"
"21",718754642447564800,"5","-1"
"22",718754642447564800,"6","-1"
"23",718754642447564800,"7","-1"
"24",718754642447564800,"8","1"
"25",728341831389020160,"1","3"
"26",728341831389020160,"2","1"
"27",728341831389020160,"3","3"
"28",728341831389020160,"4","3"
"29",728341831389020160,"5","2"
"30",728341831389020160,"6","3"
"31",728341831389020160,"7","3"
"32",728341831389020160,"8","3"
"33",732226150302224384,"1","2"
"34",732226150302224384,"2","2"
"35",732226150302224384,"3","1"
"36",732226150302224384,"4","3"
"37",732226150302224384,"5","1"
"38",732226150302224384,"6","2"
"39",732226150302224384,"7","2"
"40",732226150302224384,"8","1"
"41",735606541780258816,"1","2"
"42",735606541780258816,"2","1"
"43",735606541780258816,"3","-1"
"44",735606541780258816,"4","1"
"45",735606541780258816,"5","-3"
"46",735606541780258816,"6","1"
"47",735606541780258816,"7","2"
"48",735606541780258816,"8","1"
"49",742402460798423040,"1","1"
"50",742402460798423040,"2","1"
"51",742402460798423040,"3","-1"
"52",742402460798423040,"4","2"
"53",742402460798423040,"5","-1"
"54",742402460798423040,"6","1"
"55",742402460798423040,"7","1"
"56",742402460798423040,"8","2"
"57",745398419547492352,"1","-2"
"58",745398419547492352,"2","3"
"59",745398419547492352,"3","2"
"60",745398419547492352,"4","2"
"61",745398419547492352,"5","2"
"62",745398419547492352,"6","2"
"63",745398419547492352,"7","2"
"64",745398419547492352,"8","2"
"65",746397539082964992,"1","1"
"66",746397539082964992,"2","-1"
"67",746397539082964992,"3","-1"
"68",746397539082964992,"4","1"
"69",746397539082964992,"5","-3"
"70",746397539082964992,"6","-1"
"71",746397539082964992,"7","2"
"72",746397539082964992,"8","-1"
"73",755507503227473920,"1","3"
"74",755507503227473920,"2","2"
"75",755507503227473920,"3","1"
"76",755507503227473920,"4","1"
"77",755507503227473920,"5","1"
"78",755507503227473920,"6","1"
"79",755507503227473920,"7","2"
"80",755507503227473920,"8","2"
