"","subj_idx","MorIden","score"
"1",613040465838604288,"1",4
"2",613040465838604288,"2",4
"3",613040465838604288,"3",5
"4",613040465838604288,"4",2
"5",613040465838604288,"5",4
"6",613040465838604288,"6",3
"7",613040465838604288,"7",4
"8",613040465838604288,"8",4
"9",613040465838604288,"9",5
"10",613040465838604288,"10",4
"11",703157170715230208,"1",4
"12",703157170715230208,"2",4
"13",703157170715230208,"3",4
"14",703157170715230208,"4",2
"15",703157170715230208,"5",4
"16",703157170715230208,"6",3
"17",703157170715230208,"7",4
"18",703157170715230208,"8",4
"19",703157170715230208,"9",4
"20",703157170715230208,"10",4
"21",718754642447564800,"1",4
"22",718754642447564800,"2",4
"23",718754642447564800,"3",5
"24",718754642447564800,"4",4
"25",718754642447564800,"5",3
"26",718754642447564800,"6",2
"27",718754642447564800,"7",3
"28",718754642447564800,"8",4
"29",718754642447564800,"9",4
"30",718754642447564800,"10",4
"31",728341831389020160,"1",5
"32",728341831389020160,"2",5
"33",728341831389020160,"3",5
"34",728341831389020160,"4",5
"35",728341831389020160,"5",5
"36",728341831389020160,"6",5
"37",728341831389020160,"7",5
"38",728341831389020160,"8",5
"39",728341831389020160,"9",5
"40",728341831389020160,"10",5
"41",732226150302224384,"1",4
"42",732226150302224384,"2",3
"43",732226150302224384,"3",2
"44",732226150302224384,"4",1
"45",732226150302224384,"5",4
"46",732226150302224384,"6",3
"47",732226150302224384,"7",4
"48",732226150302224384,"8",4
"49",732226150302224384,"9",4
"50",732226150302224384,"10",3
"51",735606541780258816,"1",4
"52",735606541780258816,"2",3
"53",735606541780258816,"3",5
"54",735606541780258816,"4",3
"55",735606541780258816,"5",3
"56",735606541780258816,"6",4
"57",735606541780258816,"7",2
"58",735606541780258816,"8",4
"59",735606541780258816,"9",2
"60",735606541780258816,"10",3
"61",742402460798423040,"1",5
"62",742402460798423040,"2",4
"63",742402460798423040,"3",5
"64",742402460798423040,"4",4
"65",742402460798423040,"5",3
"66",742402460798423040,"6",3
"67",742402460798423040,"7",2
"68",742402460798423040,"8",3
"69",742402460798423040,"9",4
"70",742402460798423040,"10",3
"71",745398419547492352,"1",5
"72",745398419547492352,"2",4
"73",745398419547492352,"3",5
"74",745398419547492352,"4",2
"75",745398419547492352,"5",4
"76",745398419547492352,"6",4
"77",745398419547492352,"7",5
"78",745398419547492352,"8",4
"79",745398419547492352,"9",4
"80",745398419547492352,"10",4
"81",746397539082964992,"1",4
"82",746397539082964992,"2",4
"83",746397539082964992,"3",5
"84",746397539082964992,"4",5
"85",746397539082964992,"5",4
"86",746397539082964992,"6",2
"87",746397539082964992,"7",3
"88",746397539082964992,"8",3
"89",746397539082964992,"9",4
"90",746397539082964992,"10",2
"91",755507503227473920,"1",4
"92",755507503227473920,"2",4
"93",755507503227473920,"3",5
"94",755507503227473920,"4",5
"95",755507503227473920,"5",4
"96",755507503227473920,"6",3
"97",755507503227473920,"7",4
"98",755507503227473920,"8",4
"99",755507503227473920,"9",4
"100",755507503227473920,"10",4
