"","subj_idx","sde","score"
"1",613040465838604288,"1",6
"2",613040465838604288,"2",4
"3",613040465838604288,"3",6
"4",613040465838604288,"4",6
"5",613040465838604288,"5",6
"6",613040465838604288,"6",4
"7",613040465838604288,"7",4
"8",613040465838604288,"8",2
"9",613040465838604288,"9",7
"10",613040465838604288,"10",3
"11",613040465838604288,"11",6
"12",613040465838604288,"12",4
"13",613040465838604288,"13",4
"14",613040465838604288,"14",2
"15",613040465838604288,"15",6
"16",613040465838604288,"16",6
"17",613040465838604288,"17",6
"18",613040465838604288,"18",5
"19",613040465838604288,"19",6
"20",613040465838604288,"20",3
"21",703157170715230208,"1",3
"22",703157170715230208,"2",3
"23",703157170715230208,"3",3
"24",703157170715230208,"4",3
"25",703157170715230208,"5",3
"26",703157170715230208,"6",3
"27",703157170715230208,"7",5
"28",703157170715230208,"8",3
"29",703157170715230208,"9",3
"30",703157170715230208,"10",3
"31",703157170715230208,"11",3
"32",703157170715230208,"12",2
"33",703157170715230208,"13",5
"34",703157170715230208,"14",3
"35",703157170715230208,"15",3
"36",703157170715230208,"16",3
"37",703157170715230208,"17",3
"38",703157170715230208,"18",3
"39",703157170715230208,"19",3
"40",703157170715230208,"20",3
"41",718754642447564800,"1",4
"42",718754642447564800,"2",6
"43",718754642447564800,"3",4
"44",718754642447564800,"4",4
"45",718754642447564800,"5",5
"46",718754642447564800,"6",3
"47",718754642447564800,"7",4
"48",718754642447564800,"8",5
"49",718754642447564800,"9",4
"50",718754642447564800,"10",3
"51",718754642447564800,"11",4
"52",718754642447564800,"12",2
"53",718754642447564800,"13",5
"54",718754642447564800,"14",5
"55",718754642447564800,"15",4
"56",718754642447564800,"16",5
"57",718754642447564800,"17",4
"58",718754642447564800,"18",4
"59",718754642447564800,"19",3
"60",718754642447564800,"20",5
"61",728341831389020160,"1",6
"62",728341831389020160,"2",6
"63",728341831389020160,"3",6
"64",728341831389020160,"4",7
"65",728341831389020160,"5",6
"66",728341831389020160,"6",5
"67",728341831389020160,"7",6
"68",728341831389020160,"8",1
"69",728341831389020160,"9",7
"70",728341831389020160,"10",7
"71",728341831389020160,"11",6
"72",728341831389020160,"12",6
"73",728341831389020160,"13",7
"74",728341831389020160,"14",3
"75",728341831389020160,"15",6
"76",728341831389020160,"16",6
"77",728341831389020160,"17",6
"78",728341831389020160,"18",6
"79",728341831389020160,"19",6
"80",728341831389020160,"20",7
"81",732226150302224384,"1",5
"82",732226150302224384,"2",2
"83",732226150302224384,"3",5
"84",732226150302224384,"4",2
"85",732226150302224384,"5",5
"86",732226150302224384,"6",2
"87",732226150302224384,"7",5
"88",732226150302224384,"8",2
"89",732226150302224384,"9",5
"90",732226150302224384,"10",2
"91",732226150302224384,"11",5
"92",732226150302224384,"12",2
"93",732226150302224384,"13",5
"94",732226150302224384,"14",4
"95",732226150302224384,"15",6
"96",732226150302224384,"16",3
"97",732226150302224384,"17",6
"98",732226150302224384,"18",3
"99",732226150302224384,"19",4
"100",732226150302224384,"20",3
"101",735606541780258816,"1",2
"102",735606541780258816,"2",4
"103",735606541780258816,"3",3
"104",735606541780258816,"4",2
"105",735606541780258816,"5",3
"106",735606541780258816,"6",3
"107",735606541780258816,"7",4
"108",735606541780258816,"8",5
"109",735606541780258816,"9",4
"110",735606541780258816,"10",2
"111",735606541780258816,"11",1
"112",735606541780258816,"12",1
"113",735606541780258816,"13",4
"114",735606541780258816,"14",2
"115",735606541780258816,"15",1
"116",735606541780258816,"16",5
"117",735606541780258816,"17",3
"118",735606541780258816,"18",3
"119",735606541780258816,"19",2
"120",735606541780258816,"20",3
"121",742402460798423040,"1",4
"122",742402460798423040,"2",6
"123",742402460798423040,"3",5
"124",742402460798423040,"4",4
"125",742402460798423040,"5",5
"126",742402460798423040,"6",2
"127",742402460798423040,"7",5
"128",742402460798423040,"8",4
"129",742402460798423040,"9",3
"130",742402460798423040,"10",4
"131",742402460798423040,"11",2
"132",742402460798423040,"12",3
"133",742402460798423040,"13",4
"134",742402460798423040,"14",3
"135",742402460798423040,"15",4
"136",742402460798423040,"16",5
"137",742402460798423040,"17",2
"138",742402460798423040,"18",5
"139",742402460798423040,"19",4
"140",742402460798423040,"20",3
"141",745398419547492352,"1",6
"142",745398419547492352,"2",6
"143",745398419547492352,"3",5
"144",745398419547492352,"4",6
"145",745398419547492352,"5",6
"146",745398419547492352,"6",6
"147",745398419547492352,"7",6
"148",745398419547492352,"8",1
"149",745398419547492352,"9",5
"150",745398419547492352,"10",6
"151",745398419547492352,"11",5
"152",745398419547492352,"12",2
"153",745398419547492352,"13",6
"154",745398419547492352,"14",6
"155",745398419547492352,"15",5
"156",745398419547492352,"16",6
"157",745398419547492352,"17",5
"158",745398419547492352,"18",2
"159",745398419547492352,"19",5
"160",745398419547492352,"20",6
"161",746397539082964992,"1",4
"162",746397539082964992,"2",3
"163",746397539082964992,"3",6
"164",746397539082964992,"4",5
"165",746397539082964992,"5",2
"166",746397539082964992,"6",3
"167",746397539082964992,"7",5
"168",746397539082964992,"8",5
"169",746397539082964992,"9",1
"170",746397539082964992,"10",3
"171",746397539082964992,"11",2
"172",746397539082964992,"12",2
"173",746397539082964992,"13",5
"174",746397539082964992,"14",5
"175",746397539082964992,"15",3
"176",746397539082964992,"16",7
"177",746397539082964992,"17",2
"178",746397539082964992,"18",4
"179",746397539082964992,"19",5
"180",746397539082964992,"20",5
"181",755507503227473920,"1",5
"182",755507503227473920,"2",5
"183",755507503227473920,"3",4
"184",755507503227473920,"4",5
"185",755507503227473920,"5",5
"186",755507503227473920,"6",2
"187",755507503227473920,"7",6
"188",755507503227473920,"8",4
"189",755507503227473920,"9",5
"190",755507503227473920,"10",5
"191",755507503227473920,"11",6
"192",755507503227473920,"12",2
"193",755507503227473920,"13",5
"194",755507503227473920,"14",3
"195",755507503227473920,"15",5
"196",755507503227473920,"16",5
"197",755507503227473920,"17",5
"198",755507503227473920,"18",3
"199",755507503227473920,"19",3
"200",755507503227473920,"20",4
