"","subj_idx","swb","score"
"1",613040465838604288,"1",5
"2",613040465838604288,"2",5
"3",613040465838604288,"3",6
"4",613040465838604288,"4",4
"5",613040465838604288,"5",5
"6",703157170715230208,"1",4
"7",703157170715230208,"2",3
"8",703157170715230208,"3",3
"9",703157170715230208,"4",4
"10",703157170715230208,"5",3
"11",718754642447564800,"1",3
"12",718754642447564800,"2",3
"13",718754642447564800,"3",3
"14",718754642447564800,"4",5
"15",718754642447564800,"5",3
"16",728341831389020160,"1",7
"17",728341831389020160,"2",7
"18",728341831389020160,"3",7
"19",728341831389020160,"4",6
"20",728341831389020160,"5",6
"21",732226150302224384,"1",4
"22",732226150302224384,"2",3
"23",732226150302224384,"3",4
"24",732226150302224384,"4",3
"25",732226150302224384,"5",3
"26",735606541780258816,"1",2
"27",735606541780258816,"2",3
"28",735606541780258816,"3",2
"29",735606541780258816,"4",1
"30",735606541780258816,"5",1
"31",742402460798423040,"1",5
"32",742402460798423040,"2",4
"33",742402460798423040,"3",5
"34",742402460798423040,"4",4
"35",742402460798423040,"5",5
"36",745398419547492352,"1",6
"37",745398419547492352,"2",6
"38",745398419547492352,"3",6
"39",745398419547492352,"4",6
"40",745398419547492352,"5",6
"41",746397539082964992,"1",3
"42",746397539082964992,"2",2
"43",746397539082964992,"3",2
"44",746397539082964992,"4",1
"45",746397539082964992,"5",2
"46",755507503227473920,"1",6
"47",755507503227473920,"2",5
"48",755507503227473920,"3",5
"49",755507503227473920,"4",6
"50",755507503227473920,"5",4
